"id_perusahaan","nama_perusahaan","kategori_bidang","spesialisasi_bidang","kota_sumsel","deskripsi_singkat","prediksi_skill_dibutuhkan","sumber_data"
"PSM025","PT Sinarmas Forestry - Unit Sumsel","Agribisnis & Kehutanan","Hutan Tanaman Industri (HTI)","Beberapa lokasi di Sumsel","Bagian dari grup Sinarmas yang mengelola Hutan Tanaman Industri untuk pasokan bahan baku industri pulp dan kertas.","Manajemen Hutan Tanaman Industri (Acacia; Eucalyptus);Silvikultur & Pembibitan;Perencanaan Kehutanan & Inventarisasi Hutan;Pemetaan GIS/Remote Sensing Kehutanan;Perlindungan Hutan & Pengendalian Kebakaran;Sertifikasi Kehutanan Lestari (FSC/PEFC)","Riset Tambahan"
"PSM027","Hotel Aryaduta Palembang","Perhotelan & Pariwisata","Akomodasi & Layanan Perhotelan","Palembang","Hotel bintang lima yang menawarkan layanan akomodasi, MICE (Meeting, Incentive, Convention, Exhibition), dan kuliner.","Manajemen Operasional Hotel;Front Office Management;Food & Beverage Service/Production;Housekeeping Management;Sales & Marketing Perhotelan;Manajemen Event & Banquet;Guest Relations","Riset Tambahan"
"PSM028","PT Japfa Comfeed Indonesia Tbk - Unit Sumsel","Agribisnis","Peternakan Terpadu & Pakan","Beberapa lokasi di Sumsel","Perusahaan agribisnis yang bergerak di bidang pakan ternak, peternakan ayam, ikan, dan produk makanan olahan.","Manajemen Produksi Pakan Ternak;Budidaya Ternak Ayam (Breeding/Broiler);Budidaya Ikan Air Tawar/Payau;Kesehatan Hewan Ternak & Akuakultur;Quality Control Produk Peternakan;Rantai Dingin Distribusi Produk Segar/Beku","Riset Tambahan"
"PSM029","Rumah Sakit Umum Pusat Dr. Mohammad Hoesin","Kesehatan","Layanan Kesehatan Rujukan Nasional","Palembang","Rumah sakit vertikal milik Kementerian Kesehatan, menjadi pusat rujukan nasional dan pendidikan kedokteran di Sumatera Selatan.","Manajemen Pelayanan Medis & Keperawatan;Administrasi Rumah Sakit;Rekam Medis & Sistem Informasi RS;Farmasi Klinis & Manajemen Obat;Penunjang Medis (Laboratorium; Radiologi);Penelitian Kesehatan","Riset Tambahan"
"PSM030","PT Bank Syariah Indonesia Tbk (BSI) - Area Palembang","Perbankan","Layanan Keuangan & Perbankan Syariah","Palembang","Bank syariah terbesar di Indonesia, hasil merger beberapa bank syariah BUMN, menyediakan produk dan layanan berbasis prinsip syariah.","Prinsip & Produk Perbankan Syariah;Analisis Pembiayaan Syariah (Murabahah; Mudharabah; Musyarakah);Manajemen Dana Pihak Ketiga Syariah;Pemasaran Produk Keuangan Syariah;Operasional Bank Syariah;Audit Kepatuhan Syariah","Riset Tambahan"
"PSM031","PT GoTo Gojek Tokopedia Tbk - Operasional Palembang","Teknologi & Layanan","Platform Digital Multi-Layanan","Palembang","Perusahaan teknologi yang menyediakan layanan on-demand (transportasi, logistik, pembayaran), e-commerce, dan financial technology.","Manajemen Operasional Platform Digital;Akuisisi & Manajemen Merchant/Driver;Pemasaran Digital Lokal;Analisis Data Perilaku Pengguna Lokal;Layanan Pelanggan Platform;Pengembangan Komunitas Pengguna/Mitra","Riset Tambahan"
"PSM032","PT Erajaya Swasembada Tbk - Retail Area Palembang","Ritel","Distribusi & Ritel Produk Digital & Gaya Hidup","Palembang","Distributor dan peritel besar produk telekomunikasi (handphone, gadget), IoT, dan produk gaya hidup digital lainnya.","Manajemen Ritel Modern;Visual Merchandising;Manajemen Inventaris Ritel;Pemasaran Produk Gadget & Elektronik;Layanan Pelanggan Ritel;Analisis Penjualan Ritel","Riset Tambahan"
"PSM033","Dinas Komunikasi dan Informatika Provinsi Sumatera Selatan","Layanan Publik","Teknologi Informasi & Komunikasi Pemerintahan","Palembang","Instansi pemerintah daerah yang bertanggung jawab atas pengelolaan TIK, persandian, statistik sektoral, dan diseminasi informasi publik.","Pengembangan & Pengelolaan Aplikasi Pemerintahan (e-Government);Manajemen Jaringan & Infrastruktur TIK Pemerintah;Keamanan Informasi Pemerintah (Dasar);Analisis & Tata Kelola Data Pemerintah;Komunikasi Publik & Kehumasan Pemerintah","Riset Tambahan"
"PSM034","Balai Besar Wilayah Sungai Sumatera VIII","Layanan Publik","Pengelolaan Sumber Daya Air","Palembang","Unit pelaksana teknis Kementerian PUPR yang bertugas mengelola sumber daya air di wilayah sungai Sumatera VIII, termasuk Sumsel.","Teknik Sipil Sumber Daya Air (Irigasi; Drainase; Bendungan);Hidrologi & Hidrometri;Perencanaan & Pengelolaan DAS;Operasi & Pemeliharaan Infrastruktur Air;GIS untuk Sumber Daya Air","Riset Tambahan"
"PSM035","PT Musi Banyuasin Electric Power (BUMD Muba)","Energi","Ketenagalistrikan Lokal","Sekayu (Muba)","Badan Usaha Milik Daerah Kabupaten Musi Banyuasin yang bergerak di bidang penyediaan tenaga listrik lokal.","Teknik Distribusi Tenaga Listrik Skala Kecil;Manajemen Operasional Pembangkit Listrik Lokal (Diesel/Gas);Pelayanan Pelanggan Listrik Pedesaan;Manajemen Keuangan BUMD Energi","Riset Tambahan"
"PSM036","PT Telkomsel - Regional Sumbagsel","Teknologi & Telekomunikasi","Layanan Komunikasi Seluler","Palembang","Operator layanan telekomunikasi seluler terbesar di Indonesia, melayani wilayah Sumatera Bagian Selatan.","Teknologi Jaringan Seluler (4G LTE; 5G);Optimalisasi Jaringan Radio (RF Optimization);Pemasaran Produk & Layanan Seluler;Manajemen Kanal Penjualan (Direct/Indirect);Analisis Data Pelanggan Seluler (Customer Analytics);Layanan Pelanggan Digital","Riset Tambahan"
"PSM037","PT Sriwijaya Air - Kantor Palembang","Transportasi","Transportasi Udara (Maskapai)","Palembang","Maskapai penerbangan nasional yang melayani rute domestik dan beberapa rute internasional, dengan salah satu hub operasional di Palembang.","Manajemen Operasi Penerbangan;Sales & Ticketing Maskapai;Ground Operations & Customer Handling;Basic Aircraft Maintenance Awareness;Flight Dispatch (Dasar);Safety Management System (SMS) Maskapai","Riset Tambahan"
"PSM038","PT Askrindo (Asuransi Kredit Indonesia) - Cabang Palembang","Asuransi","Asuransi Kredit & Penjaminan","Palembang","BUMN yang bergerak di bidang asuransi kredit, penjaminan kredit UMKM, dan surety bond.","Analisis Kelayakan Kredit Usaha;Underwriting Asuransi Kredit;Manajemen Risiko Kredit;Pemasaran Produk Penjaminan;Klaim Asuransi Kredit;Hukum Bisnis & Jaminan","Riset Tambahan"
"PSM039","Otoritas Jasa Keuangan (OJK) - Kantor Regional 7 Sumbagsel","Regulator Keuangan","Pengawasan Sektor Jasa Keuangan","Palembang","Lembaga independen yang mengawasi seluruh kegiatan di dalam sektor jasa keuangan (perbankan, pasar modal, IKNB) di Sumbagsel.","Regulasi Sektor Jasa Keuangan;Analisis Laporan Keuangan Lembaga Jasa Keuangan;Pengawasan Kepatuhan (Compliance);Perlindungan Konsumen Keuangan;Literasi & Edukasi Keuangan","Riset Tambahan"
"PSM040","Lembaga Penyiaran Publik Radio Republik Indonesia (LPP RRI) Palembang","Media & Penyiaran","Penyiaran Radio Publik","Palembang","Stasiun radio publik nasional yang menyiarkan program berita, informasi, hiburan, dan budaya untuk wilayah Palembang dan sekitarnya.","Teknik Penyiaran Radio (Audio Engineering);Jurnalisme Radio & Produksi Program;Manajemen Siaran Radio;Pemasaran & Kerjasama Program Radio;Digitalisasi Konten Radio & Podcast","Riset Tambahan"
